geography,year,indicator,label,prevalence_or_rate,rate_unit,affected_person_count,count_unit,denominator_population,denominator_unit,age_group,sex,estimate_type,source,source_url,revision,uncertainty_lower,uncertainty_upper,limitations,rate_bound,count_bound,source_flag
World,2000,undernourishment,Population undernourished,12.7,percent,781.1,million persons,6150.393700787402,million persons,All ages,Both sexes,FAOSTAT estimate,FAOSTAT Suite of Food Security Indicators,https://www.fao.org/faostat/en/#data/FS,FAOSTAT normalized bulk release retrieved 2026-07-17,,,"Official global aggregate. Rates, counts, and modelled uncertainty intervals may be revised.",,,E
World,2001,undernourishment,Population undernourished,12.8,percent,802.7,million persons,6271.09375,million persons,All ages,Both sexes,FAOSTAT estimate,FAOSTAT Suite of Food Security Indicators,https://www.fao.org/faostat/en/#data/FS,FAOSTAT normalized bulk release retrieved 2026-07-17,,,"Official global aggregate. Rates, counts, and modelled uncertainty intervals may be revised.",,,E
World,2002,undernourishment,Population undernourished,13.0,percent,825.2,million persons,6347.692307692308,million persons,All ages,Both sexes,FAOSTAT estimate,FAOSTAT Suite of Food Security Indicators,https://www.fao.org/faostat/en/#data/FS,FAOSTAT normalized bulk release retrieved 2026-07-17,,,"Official global aggregate. Rates, counts, and modelled uncertainty intervals may be revised.",,,E
World,2003,undernourishment,Population undernourished,12.7,percent,817.9,million persons,6440.157480314961,million persons,All ages,Both sexes,FAOSTAT estimate,FAOSTAT Suite of Food Security Indicators,https://www.fao.org/faostat/en/#data/FS,FAOSTAT normalized bulk release retrieved 2026-07-17,,,"Official global aggregate. Rates, counts, and modelled uncertainty intervals may be revised.",,,E
World,2004,undernourishment,Population undernourished,12.6,percent,818.6,million persons,6496.825396825397,million persons,All ages,Both sexes,FAOSTAT estimate,FAOSTAT Suite of Food Security Indicators,https://www.fao.org/faostat/en/#data/FS,FAOSTAT normalized bulk release retrieved 2026-07-17,,,"Official global aggregate. Rates, counts, and modelled uncertainty intervals may be revised.",,,E
World,2005,undernourishment,Population undernourished,12.0,percent,788.8,million persons,6573.333333333333,million persons,All ages,Both sexes,FAOSTAT estimate,FAOSTAT Suite of Food Security Indicators,https://www.fao.org/faostat/en/#data/FS,FAOSTAT normalized bulk release retrieved 2026-07-17,,,"Official global aggregate. Rates, counts, and modelled uncertainty intervals may be revised.",,,E
World,2006,undernourishment,Population undernourished,11.0,percent,733.8,million persons,6670.909090909091,million persons,All ages,Both sexes,FAOSTAT estimate,FAOSTAT Suite of Food Security Indicators,https://www.fao.org/faostat/en/#data/FS,FAOSTAT normalized bulk release retrieved 2026-07-17,,,"Official global aggregate. Rates, counts, and modelled uncertainty intervals may be revised.",,,E
World,2007,undernourishment,Population undernourished,10.0,percent,672.9,million persons,6729.0,million persons,All ages,Both sexes,FAOSTAT estimate,FAOSTAT Suite of Food Security Indicators,https://www.fao.org/faostat/en/#data/FS,FAOSTAT normalized bulk release retrieved 2026-07-17,,,"Official global aggregate. Rates, counts, and modelled uncertainty intervals may be revised.",,,E
World,2008,undernourishment,Population undernourished,9.3,percent,639.7,million persons,6878.494623655914,million persons,All ages,Both sexes,FAOSTAT estimate,FAOSTAT Suite of Food Security Indicators,https://www.fao.org/faostat/en/#data/FS,FAOSTAT normalized bulk release retrieved 2026-07-17,,,"Official global aggregate. Rates, counts, and modelled uncertainty intervals may be revised.",,,E
World,2009,undernourishment,Population undernourished,9.1,percent,630.1,million persons,6924.175824175824,million persons,All ages,Both sexes,FAOSTAT estimate,FAOSTAT Suite of Food Security Indicators,https://www.fao.org/faostat/en/#data/FS,FAOSTAT normalized bulk release retrieved 2026-07-17,,,"Official global aggregate. Rates, counts, and modelled uncertainty intervals may be revised.",,,E
