sample,metric,equity_metric,oil_metric,lag_periods,lag_convention,correlation,p_value,n_obs
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-18,positive = stock market leads oil; negative = oil leads stock market,-0.0429081766236666,0.6416950791638142,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-17,positive = stock market leads oil; negative = oil leads stock market,-0.04635966728986922,0.6151051671042617,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-16,positive = stock market leads oil; negative = oil leads stock market,0.028612084255290313,0.7563993230438406,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-15,positive = stock market leads oil; negative = oil leads stock market,0.0506745148004528,0.5825563580398742,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-14,positive = stock market leads oil; negative = oil leads stock market,-0.050232293419667486,0.5858554824636105,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-13,positive = stock market leads oil; negative = oil leads stock market,-0.07174830958914008,0.4361322466708416,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-12,positive = stock market leads oil; negative = oil leads stock market,-0.2297972649314519,0.011575136774959837,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-11,positive = stock market leads oil; negative = oil leads stock market,-0.060783291874573576,0.5095821966013069,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-10,positive = stock market leads oil; negative = oil leads stock market,0.038075600595256935,0.6796935406849316,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-9,positive = stock market leads oil; negative = oil leads stock market,0.04047739480240672,0.6607003033574127,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-8,positive = stock market leads oil; negative = oil leads stock market,-0.09102449973600418,0.32278987660300396,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-7,positive = stock market leads oil; negative = oil leads stock market,-0.03883249432062173,0.6736856799207641,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-6,positive = stock market leads oil; negative = oil leads stock market,0.034268730568621904,0.7102092509861109,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-5,positive = stock market leads oil; negative = oil leads stock market,0.04068243497057825,0.6590885965245609,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-4,positive = stock market leads oil; negative = oil leads stock market,-0.18703430077041247,0.04080555546310384,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-3,positive = stock market leads oil; negative = oil leads stock market,-0.14475311768241453,0.11470040128500793,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-2,positive = stock market leads oil; negative = oil leads stock market,-0.008988099379901214,0.9223840592244439,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,-1,positive = stock market leads oil; negative = oil leads stock market,0.08292179980571579,0.3679037076171227,120
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,0,positive = stock market leads oil; negative = oil leads stock market,0.32448472990325794,0.00031788406988663163,119
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,1,positive = stock market leads oil; negative = oil leads stock market,0.310798685524277,0.0006138061551471672,118
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,2,positive = stock market leads oil; negative = oil leads stock market,-0.13903374006518307,0.13491332696820948,117
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,3,positive = stock market leads oil; negative = oil leads stock market,-0.16251018250749713,0.08134426728754893,116
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,4,positive = stock market leads oil; negative = oil leads stock market,-0.08663370939505291,0.35724557461856743,115
full,monthly_log_return,SP500_log_return_1m,WTI_log_return_1m,5,positive = stock market leads oil; negative = oil leads stock market,-0.0002770805621177022,0.9976655470402946,114
