KEY,FREQ,REF_AREA,ADJUSTMENT,BS_REP_SECTOR,BS_ITEM,MATURITY_ORIG,DATA_TYPE,COUNT_AREA,BS_COUNT_SECTOR,CURRENCY_TRANS,BS_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E,M,U2,Y,V,M20,X,1,U2,2300,Z01,E,1980-01,1070496,A,F,,,P1M,,E,,,,,,,,,2,,,"Monetary aggregate M2, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E,M,U2,Y,V,M20,X,1,U2,2300,Z01,E,1980-02,1078232,A,F,,,P1M,,E,,,,,,,,,2,,,"Monetary aggregate M2, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E,M,U2,Y,V,M20,X,1,U2,2300,Z01,E,1980-03,1088333,A,F,,,P1M,,E,,,,,,,,,2,,,"Monetary aggregate M2, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E,M,U2,Y,V,M20,X,1,U2,2300,Z01,E,1980-04,1093263,A,F,,,P1M,,E,,,,,,,,,2,,,"Monetary aggregate M2, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E,M,U2,Y,V,M20,X,1,U2,2300,Z01,E,1980-05,1100958,A,F,,,P1M,,E,,,,,,,,,2,,,"Monetary aggregate M2, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E,M,U2,Y,V,M20,X,1,U2,2300,Z01,E,1980-06,1109205,A,F,,,P1M,,E,,,,,,,,,2,,,"Monetary aggregate M2, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E,M,U2,Y,V,M20,X,1,U2,2300,Z01,E,1980-07,1120452,A,F,,,P1M,,E,,,,,,,,,2,,,"Monetary aggregate M2, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E,M,U2,Y,V,M20,X,1,U2,2300,Z01,E,1980-08,1127098,A,F,,,P1M,,E,,,,,,,,,2,,,"Monetary aggregate M2, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E,M,U2,Y,V,M20,X,1,U2,2300,Z01,E,1980-09,1133419,A,F,,,P1M,,E,,,,,,,,,2,,,"Monetary aggregate M2, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E,M,U2,Y,V,M20,X,1,U2,2300,Z01,E,1980-10,1145159,A,F,,,P1M,,E,,,,,,,,,2,,,"Monetary aggregate M2, Stocks","Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted",EUR,6
